UserName,Reviews,Rating,Date
Vivek Singh,Most beautiful monument in seven wonders of the world. We reached here at the gate parked our car in the parking area. The ticket line was very long we had to wait 1 hour just to get them. Then there was another long line to enter the …, 5 stars ,3 weeks ago
joshua kal,"It is good, take your time and roam the place nicely it gets crowded so go early and  enjoy.
Have some basic information about the monument then it will be very interesting trip for you.", 4 stars ,3 months ago
Akshay Gangarde,"Someone has rightly said that it's better to visit once than hearing it n number of times. One of the Wonders out of 7. The identity of India Taj Mahal.
It's the sign of Love. And if you want to feel it, then do visit this place. It's not …", 5 stars ,7 months ago
Kanagiri S N Prasad,It's a lovely and awesome place and one has to visit in their life time and it will be surprised to see the architecture and looks real astonishes the first time visitors. Well maintained lawns and the security arrangements but out side we …, 5 stars ,3 months ago
Rosemary McKenzie,"No matter how many photos you've seen of the Taj Mahal they don't do it justice.  It just takes your breath away when you see it in person.  Make the effort & see it at sunrise.  Also, if you want to actually go into the building itself …", 5 stars ,a month ago
viral MAGICIAN,Loved it. Can't express in words. Just a wonder. A real wonder. Amazing architecture. Just see the pictures 😊😀😀😁. Lovely place., 5 stars ,4 months ago
KRUSHNA,"1. The Taj Mahal 'Crown of the Palace is an ivory-white marble mausoleum on the southern bank of the river Yamuna in the Indian city of Agra.

2.  It was commissioned in 1632 by the Mughal emperor Shah Jahan 
(reigned from 1628 to 1658) to …", 5 stars ,3 weeks ago
Neelam Rawat,"How can I miss this Wonder of the world !!

I visited this beautiful place with my friends and I loved it !! Best time to visit is early morning !!

No restrictions for photography tourists can carry there cameras and mobile to click …", 5 stars ,3 months ago
lmteyaz ahmad,"Most beautiful monument for photo and selfie, but never go in summer season , best time to see the Taj Mahal is February and March.", 5 stars ,a month ago
prasenjit ghatuary,Lovely place . But try to reach in cool weather. Don't take bus tour packages if you want to explore something. They're not good for enough time., 5 stars ,2 months ago
Nimish Jalan,The monument of love. I have never seen a monument that is more spectacular than the Taj Mahal. There is a reason that this is amongst the top places to visit in the world and there is nothing that makes this place the stuff of legends. …, 5 stars ,3 months ago
Prakhar Mishra,Even 5 ratings ate less for this fabulous monument.....hats off ti indian architect......jai hind jai bharat, 5 stars ,a month ago
Divya Yadav,Awesome palace its very good beacuase very wonderful✨😍, 5 stars ,a week ago
Kuldeep Singh,"As we know one of the seven wonders. Wonderful construction, symbol of love ,we can catch it in our memories. Don't forget to carry a camera if u have make ur mind to visit.", 5 stars ,2 months ago
Nilanjan Maitra,It's just magnificent monument of love. Made of white stone. Its truly one of the 7 wonders of the world. It is said that there are two types of people. One who have seen taj and another who haven't. Foreign tourist has to pay Rs.700. It's well maintained.  Just 3 to 4 hours drive from New Delhi. If you get a chance please do visit., 5 stars ,3 months ago
saisankar tewari,"The Taj Mahal is an ivory-white marble mausoleum on the southern bank of the river Yamuna in the Indian city of Agra. It was commissioned in 1632 by the Mughal emperor Shah Jahan to house the tomb of his favourite wife, Mumtaz Mahal; it also houses the tomb of Shah Jahan himself.", 5 stars ,a month ago
Christopher Guest,The TAJ!  Wonder of the world.  Was there with my ex wife a year ago... was there with my new love a week ago.  Go with a true love and not with a not so nice person.  Make it SPECIAL!, 5 stars ,4 months ago
Mohd. Amaan,"The Taj Mahal attracts a large number of tourists. UNESCO documented more than 2 million visitors in 2001,[54] which had increased to about 7–8 million in 2014.[3] A two-tier pricing system is in place, with a significantly lower entrance …", 5 stars ,a month ago
Nimnas MW,"Taj Mahal is Wonder of the Earth, but Actually Nothing is there, also they won't allow the Selfie stick too, and can't take the photographer inside the the Taj Mahal, according to India &Sri Lanka SHARC agreement they should reduced the …", 3 stars ,4 weeks ago
Sagnik Kundu,Pride of India. One of the 7 wonder of the world., 5 stars ,3 days ago
Manisha Pillai,"Honestly don't see marvel or beauty in this place. It is bleak and dull. The only astonishing part is the sheer number of people who come to visit this place every year.

Personally it was a huge waste of time and energy.", 1 star ,2 months ago
Tatyana Bogantes,"Amazing! Beautiful. Tho the mausoleum that they have on display is not the real one ppl is not allowed to take pics to it. 
Before getting in, get the shoes cover that they have for sale so u don't have to walk barefoot.", 5 stars ,3 months ago
gautam singh,"Taj mahal is a great treaser we have, the peace of carving and vastness can be feel only when you visit the place.", 4 stars ,a month ago
Parth Koradiya,"The world has taken it as One of The Wonders of the World,
The way it is taken care is still in need of proper concentration...
There is need proper disciplines for islamics who wants to pray at mosque,", 4 stars ,3 months ago
Mohan Singh,"A truly great historical place of India. I'm loving it. this is Made by stone marbles. Great to watch, feel so proud whenever you see the achievement of India", 5 stars ,3 months ago
TUSHAR SETHI,Do you really think it is a place that needs a review. Speechless. Just want to say One of the Wonders Of The World., 5 stars ,a month ago
ARSLAN ASHRAF,"A very big monument in worldwide 
And also a world heritage site 🇮🇳🇮🇳", 5 stars ,a month ago
TEJAS MURDIO,"They will provide you Luggage stand(free of cost) , don't buy ticket from outside ticket counter for visiting main mausoleum of the tajmahal they may charge 50 Rs extra..
Other tickets counter available inside taj mahal garden.", 5 stars ,a month ago
mohit singh,"very good place to visit during monsoon and in winters.
its enjoyable
in summers the marble is too hot and warm
so avoid visit during summers", 4 stars ,3 months ago
Ashish Kumar,Great historical building and a mark of true love. Beautiful location and building infrastructure. Everyone  loves this place., 5 stars ,3 months ago
Arun Molugu,Best place to visit in India and it is marked as the seven wonders of the world. This monument is very beautiful and the tombs inside are even more beautiful., 5 stars ,2 months ago
Syed Habeeb,Some monuments get famous because they are unique and attract the critical acclaim of experts and people love it. Then stories revolve around it and famous personalities visit it. Over the years it becomes more famous. If your grandfather …, 5 stars ,a month ago
Sukumar D N,Went just next day after trump visit .. so it was ver clean and neat.., 5 stars ,a month ago
Akshay Pal,If you visit this place for symbol of love . Go for Prem Mandir in Vrindavan instead of this., 3 stars ,a month ago
Faith Jose,"Talking about the place, it is both beautiful and enormous. A heaven for people who click and love to get clicked. Must come to have a lifetime's experience.", 5 stars ,3 months ago
SheddiBaba,"REALLY GREAT PLACE FOR TOURIST. AS PRESIDENT OF AMERICA DONALD TRUMP HAS VISITED IT.. AND IT IS ONE OF THE SEVEN WONDERS IN THE WORLD.
IT WAS BUILT BY SHAHJAHAN MUMTAZ BEGUM..
IT WAS MADE IN HONOUR OF LOVE TOWARDS HIS WIFE.
I RECOMMEND YOU TO VISIT THIS PLACE AS IT HAS A VERY GOOD NAME IN THE WORLD.
AND IT IS THE ONE. Thank you", 5 stars ,3 months ago
Pankaj Salokhe,"I guess the most hyped place in India. I personally did not like it. More detailed work can be seen in numerous temples in India and even in Red Fort in Agra. When a closed look is taken at the monument, you can see recent time aweful …", 3 stars ,4 months ago
Sk Ajijul Hossain,"The tombs of the great Shahjahan and Mumtaz Bibi and the symbol of their love.
And one of the Seventh Wonders of the World", 5 stars ,a month ago
Nemish Lakhewar,"So glad to have finally gotten to experience the iconic Taj Mahal! The views are breathtaking. Getting to see this has always been a dream of mine. I bought the tickets to go into the base, which was definitely a great experience! I would …", 5 stars ,3 months ago
kj,"The wonder of the world - TAJMAHAL, Really The place is huge and there are tons of interesting things. I absolutely love the view, the designs are wonderful and a load of fun! It is really wonderful to have this place in INCREDIBLE INDIA. …", 5 stars ,4 months ago
Gynaecologist Knight,"TEJO MAHALAYA which is believed to be a historic temple, and now it is one of the most romantic places in the world, where lovers hold hands and walk on the white marbles under the shadow of angels, and dancing fountains, inhaling the scent …", 5 stars ,a month ago
madhur agrawal,"was commissioned in 1632 by the   (reigned from 1628 to 1658) to house the tomb of his Mughal emperor shah jahan wife, Mumtaz it also houses the tomb of Shah Jahan himself. The tomb is the centrepiece of a 17-hectare (42-acre) complex, …", 5 stars ,a month ago
Anuj Dwivedi,Justice is done to it by making it one of the seven Wonders. It really is a remarkable piece., 5 stars ,a month ago
SAIF ALI,Great marvelous structure no words to describe the beauty of this structure just need little care from visitors, 5 stars ,a month ago
Cynthia P,"You just have to see it.  The photos don’t do it justice.  One of the Seven Wonders of the World, it is well worth the visit.  The Taj was at its best the day we were there as President Trump was arriving later in the day.", 5 stars ,3 months ago
renjith chandran,It's really a wonder. When we are going in day time it is advisable to carry hats and umbrellas as you will get tired due to exposure to sun light. A must see place., 5 stars ,a month ago
Ben Dennhardt,"This is probably the main monument of India. If you come a very early visit is recommended to avoid the crowds.
For foreigners the ticket automatically includes a government guide and unlike some unofficial ones these one are knowleand do not expect a tip at the end (even though a tip is appreciated).", 4 stars ,3 months ago
Srinu Cena,Admirable architecture and all season photogenic place and best time is early morning at 6am and raising sun reflect on that arena really flourish with love atmosphere and admirable weather and colourful around the walls with ground …, 4 stars ,3 months ago
Pleasure On Her Plate,"One of the most beautiful places in India. This truly deserves to be in the wonders of the world. Taj Mahal can be really crowded on the weekends and in the winters.
Entry ticket is very minimal. The place is really mesmerizing and is a …", 5 stars ,3 months ago
VIVEK SINGH,"It's amazing building of love.
I never forget that moment when I see first time.
There is a lot of thinks which make it fabulous..
I really miss this building.
Near #TajMahal the Red Fort is also there.
I'm glad to visit there.
I advice you if you came to Agra plz didn't miss to visit Red Fort.

Thanks for read this.

🙏🙏", 5 stars ,2 months ago
Prabhin A V,Wow just amazing. It is really one of the world's 7 wonder. I didnt realised it was this much big and the wall surrounding the Taj Mahal was like a skyscraper. It was really amazing. Yamuna has now become more polluted yet we could see a beautiful scene of the river and also the ref fort from the banks of the yamuna.., 5 stars ,a month ago
sai vijita pydi,Beautiful is the only word which would do a certain amount of justice. Spellbound to watch this marvel., 5 stars ,2 months ago
Harish Verma,"The Taj Mahal is best known for its white marble mausoleum a symbol of eternal love, but this mausoleum represents only part of the site of the Taj Mahal. The latter is in fact a vast rectangular set, exactly 580m by 305 oriented …", 5 stars ,a month ago
Subham Dash,This is a piece of beauty which one will always remember no matter where he goes and what else monuments he/she visits. Don't forget to get the tickets of mausoleum because with that only you will be able to go to the deck of Taj Mahal and also inside it. You will embrace the beauty when touch the marble walls. Worth visiting., 5 stars ,3 months ago
Azeem khan,"No words to explain the beauty of this marvelous building located in agra tourist around the world come here just to feast their eyes on this marvel, the one of the best tourist spot on the entire planet, you will never get tired of staring at this marvelous structure. Just go there and enjoy!!!", 5 stars ,3 months ago
Savitri Sharma,Agra is known because of Taj Mahal and petha., 4 stars ,2 weeks ago
Abhiuday amazing videos,Its a very awesome place. In your life you should visit here before you die., 5 stars ,a month ago
Yogesh Rathore,"Taj is as mentioned seventh wonder of the world,this is awesome and shows the specimen of love between two muslim mumtaj and shahjahan(mugal emperor),i like this place because i have paid 50 rupees,it takes 250rs for visiting inside but i am so much poor ,i cannot pay this huge amount.", 5 stars ,a month ago
ALFA INFOTAINMENT,"Wonder of the world lovable . You cannot resist while seeing it . It worth for your visits. 
Best place for your family and kids all will enjoy this historic place .", 5 stars ,3 months ago
SHAHNWAZ ALI,Fantastic!!! A once in a lifetime must. However... beware! Every person your tour guide speaks to wants to make money out of you. We was approached by a photographer who our guide seemed to know and was asked if we wanted our picture taken …, 5 stars ,a month ago
Dr.O,"A beautiful example of indian art, heritage and culture.
Made by shahjahan in memory of his wife mumtaz.
Other than the white marble building there are many other sites in the compound which are equally good.", 4 stars ,2 months ago
Hammad nabi,It's one of the seven Wonders of world. It's very very beautiful place for entertainment. We made fun here with my friends👬., 5 stars ,3 months ago
Acharya Ashutosh,Favorite place for weekend for Delhiites. Couples love this place. Prices have increased for tickets from rs 50 to ₹250., 5 stars ,2 months ago
Suman Pandey,It was dream to visit one the 7 wonders of world. It nice clean and well mentioned place. All I can say please visit one to have experience., 5 stars ,4 months ago
IBIN Saleem,Friday Holiday. Entry tickets are way higher. Get local guides to know the history of the lovable monument, 5 stars ,3 months ago
Anirban Sanyal,"One who has wanderlust will never miss a chance to visit this wonderful piece of wonder!
A place with heritage and outstanding architecture. 
A place which should be in everyone's bucket list.", 5 stars ,3 months ago
{Radhe} Mina,India's most popular place for tourism purpose or isko sahajah be banwaya tha, 5 stars ,a month ago
Chetan Singh,The Taj-Mahal under velocity & wonder due to dynamic dynasty of agra city., 5 stars ,3 weeks ago
Ajay Joel,"Sir, Monument is best but the GUIDES AT THE TAJ ARE FALCONS & VULTURES. They will mob you to hire them at very high charge and USE VERY FOUL LANGUAGE if you don't hire them. They didn't even had consideration of my lady family members while using abusive terminology. My WORST NIGHTMARE. I will never visit The Taj again.", 5 stars ,3 months ago
Abhishek Singh,You live the moment when you visit here. One of the best places to travel in india. Well maintained., 5 stars ,3 months ago
RAJ Arya,It is a beautiful place. And he is symbols of love.  That is great place of india., 5 stars ,2 months ago
Info,"An excelent place to visit as it is one of the seven wonders of the world.
I suggest you, must visit at least one time.", 5 stars ,3 weeks ago
Fs creations.,"Best place for trip and vacation spending...
Everything is available here....
Full of beauty and nature....
Real symbol of love....", 5 stars ,3 months ago
Shabee Ahmad,"The Taj Mahal is widely considered one of the most beautiful buildings ever created. The exquisite marble structure in Agra, India, is a mausoleum, an enduring monument to the love of a husband for his favorite wife. It's also an eternal …", 5 stars ,a month ago
Utsav Soni,Lovely place..... Everyone should visit here atleast onetime in there life, 5 stars ,a month ago
nidhi singh,"Place is so beautiful and mesmerizing. Endless things to explore such as 
(1)Taj Mahal at sunrise from the main entrance
(2)The main gateway to the Taj Mahal
(3)Garden
(4)Outlaying buildings, 
(5)interior view of the vaulted dome over the tombs of Mumtaz and Shah Jahan,
(6)exterior decoration
(7)Final floor tiling", 5 stars ,a month ago
Ashok George,"One of the wonders of the world. Time stops here.
Best time to visit is sunrise. Peaceful. Just peacocks and parrots", 5 stars ,4 months ago
Milan Ajmera,OMG so nice place. Too good master piece of work. Salute to those workers who made such a beautiful place., 5 stars ,3 months ago
Harihara Swain,"💐💐🕌👍🏻really a historical place 
And awesome place of wander ,in India", 5 stars ,2 weeks ago
Payal Gupta,"Loved it ❤
One knows that ‘The Taj’ is one amongst the World’s Wonders!
One knows that it is one amongst the UNESCO World Heritage Sites!!
One knows The Taj as a legend of eternal love of an Emperor for his favourite Queen!!!

Well, ‘The …", 5 stars ,a month ago
Pavan Parekh,Beautiful place although it had very cheeky monkeys., 5 stars ,a month ago
round 2 hell,Is very good and royal place this is my fav place 😍🥰, 5 stars ,3 weeks ago
Ashu Official,It's beautiful!!!! But the main thing is it is technology connected ...the ticket counter got closed at 5:20 around but still v were able to get the tickets using the online link mentioned there ..., 5 stars ,3 months ago
Ikrama Imran,Another very fascinating and beautiful place in the world is Taj Mahal in the city of Agra in India. It is also called the monument of love. It was built by Mughal Emperor Shah Jehan in love of his wife Mumtaz Mahal in 1932. It is located …, 3 stars ,2 months ago
Ramadoss Raghavendran,Marble marvel! Such a precious place! Must watch for every Indian to know the Mughal Architecture! Red stones and marbles used in a very good manner to bring out the best in them!, 5 stars ,4 months ago
mohit singh,"The architectural design is beyond your expectation....
How can that much expertise done at that time without advance tools..
It's amazing", 5 stars ,4 months ago
Saurav Mahawar,Wonderful wonder. Tickets rate  has been updated recently. Rs.50 for entry and Rs 250 for entry and Makbara visit., 5 stars ,a month ago
Pradeep Sharma,"Wonderful experience, Really a beautiful and mesmerizing place to spend your time with your loved ones.", 5 stars ,a month ago
Pe Ji,Never to be missed in your life. you may go at full moon night to see it., 5 stars ,a month ago
Ashutosh Gupta,"Detailed Review Coming Soon. 
But yes, great place, great vibe and must visit before you die. 
For in-depth review, have patience :)", 5 stars ,3 months ago
Rina Raymond,Some say it is beautiful while others don't care. You need to see it to understand what this love story was about. Take the time to wander and dream., 5 stars ,4 months ago
RaHil MP,one of the best monument I have visited in my life, 4 stars ,3 weeks ago
Vatsal Tyagi,A wonder as it is. I suggest that you buy the ticket to enter the Taj Mahal., 5 stars ,a month ago
Mark Haley,"Nothing I can say here can aptly describe how wonderfully amazing this place is
Just go", 5 stars ,3 months ago
AmarGyan Biology,"Amazing attraction for tourists in India...
One of the seven wonders of the world...", 5 stars ,a week ago
DELHI EVENTS,Really amazing place. Very peaceful and happy place. Symbol of love . This place is known as Seven wonders of the world., 5 stars ,3 months ago
HVS Rudrappa,No doubt a great Monument and fit to be one of the great Wonders of World. Only one has to see its beauty personally to experience & appreciate..!, 5 stars ,3 months ago
Manjurul Ahsan,This is the place where you obviously WOW experienced. I think Indian Govt. only maintaining this Mughol's monument properly., 5 stars ,3 months ago
Eric Delamere,"One of the seven wonders of the world and a must see place. If you get to travel to Northern India then you must make the effort to visit the Taj Mahal. There is a wonderful entranceway, beautiful gardens with typical waterways, the …", 5 stars ,2 months ago
Feroz Sheikh,Lovely place.. early morning is too good to visit, 5 stars ,a month ago
Neha Vashishth,Beautiful as its history. Make sure you go for a guided tour even if you're an Indian. The experience is good and the guides keep you safe from unwanted elements around the complex too, 5 stars ,3 months ago
LIKI LIKITHA,Taj mahal in india it is a great tourist attraction., 5 stars ,a month ago
moglimogify,"Probably the most beautiful building I've ever seen in my life.
I recommend arriving early so you can avoid long queues and get pictures with fewer tourists in them.

Be carefy about buying your ticket. It wasn't clear to us but we could …", 4 stars ,3 months ago
Orophile World,No words for this architecture. It's great and must go place. Know history and talent of ancient India., 5 stars ,3 months ago
Sachin Sahrawat,"It is unique to visit but gov does not care about this assets. Should provide world class facilities there. Symbol of love so go with gf or wife, family. The Taj Mahal lit. 'Crown of the Palace', is an ivory-white marble mausoleum on the …", 4 stars ,a month ago
V Hatake,"Poorly maintained, I was able to spot cob webs(spider webs) on the walls and the price was very high...", 1 star ,a week ago
Jafor Khan,"The Taj Mahal was designated as a UNESCO World Heritage Site in 1983 for being ""the jewel of Muslim art in India and one of the universally admired masterpieces of the world's heritage"". It is regarded by many as the best example of Mughal …", 5 stars ,a month ago
vipul kishore,"One must take time and visit the upper level to closely see how delicately each marble had been chiseled ans shaped, it indeed is a wonder..... A wonderful Monument", 5 stars ,4 months ago
Viral punch,The statement is feel  real after seeing the Taj Mahal  😃   Wah! Taj, 5 stars ,a month ago
Tirh Patel,Amazing place 😍. It is truly a wonder if the world, 5 stars ,a month ago
Александар Тадић,"The Taj Mahal (/ˌtɑːdʒ məˈhɑːl, ˌtɑːʒ-/; lit. 'Crown of the Palace', [taːdʒ ˈmɛːɦ(ə)l]) is an ivory-white marble mausoleum on the southern bank of the river Yamuna in the Indian city of Agra. It was commissioned in 1632 by the Mughal …", 5 stars ,a month ago
Ziv Tan,"7 wonders of the world is really wonderful. Is really different than imagine, is surrounded by red wall and the tiles outside is red. Full of people and is better to have a local to guide you.", 5 stars ,3 months ago
Dipak Rohit,As the name suggests Mahal.. It's a Mahal with beautifully carved and skilled to best. Located on the banks of Yamuna its a challenging pact of engineering and crafting, 5 stars ,2 months ago
Aditya Aanand,"The Photos don't even come close to the Marvel this Majestic Monument is. No wonder why it is the Part of the 7 Wonders of the World

This place is Beautiful, Majestic and Only of it's Kind", 5 stars ,4 months ago
Jitaksh Sorathiya,"Very beautiful place for visiting
Charbag is nice place to spend time", 5 stars ,3 weeks ago
Rohit Kumar Gupta,"""The Taj Mahal"" 7 wonder of the world.

Extraordinary example of monument, very fine embroidery design on wall, attractive white Marbal. It's an example of love of Shah Jahan and Mumtaj. Couple, family, love to go there. Most famous tourist …", 5 stars ,a month ago
Suraj Agrawal,It's really amazing. It is far better than whatever you have imagining from photos. The level of art and architecture is mind blowing. Garden is also well maintained. Winter is best time to visit Taj Mahal., 5 stars ,4 months ago
Vivek Patel,Beautiful and clean place. Everyone has to wear white shoe cover to maintain cleanliness of the monument. Sangemarmar, 5 stars ,3 months ago
Nivedika Insta,One of amazing creature of mankind a have ever seen. There is a different vibe of this place which makes you stay there and let yourself calmly look at The TAJ., 5 stars ,3 months ago
Sudipto Biswas,The world's most famous symbol of love & one of the seven Wonders of the world. One of the most visited monuments in the world. & symbolizes India., 5 stars ,3 months ago
Ravishankar verma,"It was the greatest fun with friends .
We had so much of fun there .
Its a symbol of love .", 5 stars ,2 months ago
Rishabh Raj,"The Taj Mahal is an ivory-white marble mausoleum on the south bank of the Yamuna river in the Indian city of Agra.Very impressive, beautiful and majestic place! It is really a Handmade masterpiece. I really recommend to visit it and to see …", 5 stars ,2 months ago
RISHI PATEL,"Taj Mahal is one of India's best and beautiful tourist destinations. There are many historical monuments in India, however, Taj Mahal is the only one. It is a great artistic attraction, which attracts many people's mind every year, to see …", 5 stars ,a month ago
Sanam Solankey,This place is nice .I have no words to explain because this place is favoulus., 5 stars ,a month ago
Punit Chauhan,"Symbol of love...!
Really when you are at the Tajmahal..
You feel love is in the air...
Superb place and salute that people who take care of this beautiful monument... 🥰", 5 stars ,3 months ago
Karamveer Singh,Its nice place and make a true event for me and  i visiting this place lot of fun its really good place and, 5 stars ,2 months ago
Rahul,It's a fabulous monument nothing can match its structure with fine arts and garden, 5 stars ,2 months ago
Abhist sharma,"Best place to Visit when in AGRA!
Normal Ticket-₹50 
To enter Taj Mahal- ₹200 
It's is surely the Best place to visit. This was my second visit and in every look of it It is Mesmerizing and so Beautiful that you don't want to take eyes of this beautiful monument and I can't image how beautiful it was when it was New.", 5 stars ,3 months ago
Md Imran Shajjed Alam Shajib,It's a wonder of the world. What a beauty?  Every words will fail to express the fling about the beauty of TAJ. It’s really really a grand matter. TAJ is a piece of art. Every corner of TAJ are build with paton. I love to visit TAJ., 5 stars ,a month ago
Inside Track Entertainment And Infomedia,Good and beautiful marble structure. Pride of India., 4 stars ,4 days ago
Nishant sharma,"What can one say about this famous monument and building? Taj Mahal , it is an amazing structure and the story behind it is also such a vital part of India’s history. Guide did a great job and was very satisfactory. Long walk in to the Taj. …", 5 stars ,2 weeks ago
Karpetis Dimitris,"a monument to love ... truly made with architectural inspiration, white marble and thousands of stones adorn it.  At night, it is illuminated and shined only by the natural light of the moon and stars ...", 5 stars ,3 months ago
nilesh bhalla,"One of the Seven wonders of the world, this place is a symbol of Love incredibly designed with pure white marble as a symbol of peace alongside the bank of Yamuna river.", 5 stars ,2 months ago
Anshul Reynold,Truly amazing. Every inch is beautifully built. No wonder it is one of the seven wonders., 5 stars ,3 months ago
Nisha Harinath,This place doesn't need a rating . It's a class of its own. It holds the love history of Mughal emperor Shah Jahaan. You have a magical feel as you visit this place right from the first sight of it to the interiors of the it you feel the love and devotion in every place. No wonder it's one of the wonders of the world., 5 stars ,4 months ago
Vipin Panchal,It is very rememberable place...begum mumtaj was the only reason behind the taj.taj mahal is the one of seven wonders., 5 stars ,a month ago
Banwari Jhawar,One of the seven wonders in the world and most beautiful monument. Best place to go with your better half/lady love, 5 stars ,3 months ago
Luis ROSARIO,The Taj Mahal is an ivory-white marble mausoleum on the southern bank of the river Yamuna in the Indian city of Agra, 5 stars ,a month ago
Jaswinder Singh,A beautiful piece of ancient artistry. It is huge much more than it looks in the images. Cleaniness is a issue in this place and the nearby buildings specially because of the pigeons it smells alot. Management should try to make the place atleast more hygenic., 4 stars ,a month ago
Subhash Yadav,"The Taj Mahal is an ivory-white marble mausoleum on the southern bank of the river Yamuna in the Indian city of Agra. It was commissioned in 1632 by the Mughal emperor Shah Jahan to house the tomb of his favourite wife, Mumtaz Mahal; it also houses the tomb of Shah Jahan himself.", 5 stars ,a month ago
Himanshu Pandey,"Taj Mahal for centuries has come to be synonymous with India. A UNESCO World Heritage Site, Taj Mahal is a poetry in white marble built by Mughal Emperor Shah Jahan in the 17th century in memory of his wife Mumtaz Mahal who died while …", 5 stars ,a month ago
Satyam Prajapati,"A lovely place for enjoyments, Big forest around the building, So greeny and colorful A big boundary around the building. It's really wonder of world. Here environment is very neet and clean The river of Yamuna also have a beautiful seen. …", 5 stars ,a month ago
Sajath Ahmed,"We had been dreaming for a long time about some day visiting the magnificent Taj Mahal after reading about it and seeing it on TV. However, just seeing the Taj Mahal on TV and in magazines do not even compare to the ""feeling"" that you get …", 5 stars ,2 months ago
Navi Subh,"The Taj Mahal attracts 7–8 million visitors a year and in 2007, it was declared a winner of the New 7 Wonders of the World (2000–2007) initiative.", 5 stars ,a month ago
Soumya Kashyapi,"I ain't got no words for it, atleast I can say you this that the place is an outstanding & marvelous place, and you won't realise the beauty, the value and the experience of this place unless and until give this place a visit... So I recommend you to give this place a visit atleast once in a lifetime surely...", 5 stars ,3 months ago
BISWAJIT DEBNATH,It is a monument of Mumtazmahal at Agra city of Uttar Pradesh. It's architecture is very good. I visit here 12 year ago. There is no lighting after evening. It closes after evening., 5 stars ,3 months ago
Amrita Mishra,"Beautiful as expected. General ticket is 50 rupees but if you want to go inside then ticket price is 250. Wonderful architecture.  You will see works on pillars that shows as if its 3d, but actually its flat surface. If you look at Taj …", 5 stars ,7 months ago
Sajeev Krishnankutty,No words to describe the world wonder. Really great monument., 5 stars ,a month ago
JEET CLASSES have fun,"Best for sight seeing and good for those who visit first time but I visited approximately 60 70 times here 
So very common for me", 5 stars ,3 months ago
Sachin Chauhan,Beautiful place but very crowded which is obvious. Try to visit during early morning like 6 am to avoid crowd and more beautiful view., 5 stars ,3 months ago
Mahendra Singh,"it's great place to visit ,situated at agara city of uttar pradesh state of india .", 5 stars ,a month ago
Shahrukh Maniyar,Beautiful Place... Symbol of Love. Please visit this place at least once in a llife.Clean place with very high security. Best creation of Mughal., 5 stars ,3 months ago
assam ka bhanu,Shah jahha making Love places in mumtaj, 5 stars ,3 weeks ago
Amarnath Bellamkonda,"Nice monument, need 2-3hrs to explore...
Things to do:
Hire a guide, they a bit expensive (bargain for lower rates) but worth it...
Cars are not allowed beyond a certain point.. Battery cars are available from parking to main entrance.. …", 5 stars ,4 months ago
Iskandar An,wordless to say about Taj Mahal.  Extremely best handmade man made for his the only ONE who he loves with beauty of arts..best materials too. Amazingly created!!, 5 stars ,3 months ago
Vaibhav Khedkar,Great to visit. Beware of pick pocketer and tourist guide. Do not visit leather or sweet shops suggest by tourist guide, 5 stars ,3 months ago
Raid Syed,"The place is amongst the seven wonders of the world and it is a requirement for you to visit. However, I request the Indian government and the Indians themselves. To maintain the monument and renovate the old city.", 5 stars ,4 months ago
Garima Tripathi,"Nice Government Guide, bought some sarees,blankets and Bedsheets for trial as they were highly recommended. Best time to visit is from November-March as the weather is quite favourable.", 5 stars ,4 months ago
Ateebul Irshad,"Taj Mahal..........only Destination of Mughal Era,Archetec, Expression and Symbol of Love........love for His Wife. Love this place because of Mughal Empire Archetec.", 5 stars ,2 months ago
Chanderkant Soni,All type of batteries Ups at best price near me., 5 stars ,a month ago
Basil James,"This construction is mind blowing 😇😇 Before reaching there please take online ticket. It's very difficult to get tickets because of huge crowd 👩‍👩‍👧‍👧👩‍👩‍👦‍👦. Carry your orginal ID card also. Try to learn the history behind tajmahal and visit, so that you will get nice idea about it🤠", 5 stars ,3 months ago
Mukul Srivastava,How can someone describe the beauty of The Taj in words. Just go and watch yourself. Enjoy., 5 stars ,3 months ago
Theotis Callender,I always wanted to see this beautiful tomb. It did not disappoint.  I was unprepared  for the magnitude and majesty of the place. Glad it was a clear day., 5 stars ,3 months ago
Shivam Dehgwan,"What a great experience to visit..  Amazing.😘😘
Best time to visit is August to April because of Weather", 5 stars ,3 months ago
Naren Lamba,Mesmerizing Monument.. Indeed a wonder of the world.. A must visit .. Early morning visit recommended for best experience, 5 stars ,3 months ago
Captain Nick Rowdy,"One of the world's heritage
The great creation of ancient India", 5 stars ,3 weeks ago
Mustkim Saiyad,I am loving it. Amazing place. After seen this place you forget all others., 5 stars ,3 months ago
Kanak Sarkar,"This is great place in the world.. 🌏 
Its has own attraction about this monument..
Nice place and historical with its own beauty🍁🍁", 5 stars ,4 months ago
Jai S,"Beautiful, full of rich history and definitely worthy of being considered a wonder of the world. Pictures do not do it enough justice. That said, bear in mind that it is extremely busy and expect to plan for a minimum of a full day trip, especially if you also plan on visiting the nearby Fatehpur Sikri fort as well.", 4 stars ,3 months ago
Meer Murad,It was a great trip along with my beloved wife and children!, 5 stars ,a month ago
